id,tipo,titulo,diretor,elenco,pais,adicionado_em,ano_lancamento,classificacao,genero,data_lancamento,duracao_em_min,temporadas,estacao
s448,Movie,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Peter Facinelli",US,2021-07-16,2011,12,"Dramas, Romantic Movies",2011-11-16,117.0,,Primavera
s449,Movie,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser",US,2021-07-16,2012,12,"Dramas, Romantic Movies",2012-11-13,115.0,,Primavera
s450,Movie,The Twilight Saga: Eclipse,David Slade,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Bryce Dallas Howard, Dakota Fanning",US,2021-07-16,2010,12,"Dramas, Romantic Movies",2010-06-23,124.0,,Inverno
s451,Movie,The Twilight Saga: New Moon,Chris Weitz,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Dakota Fanning, Michael Sheen",US,2021-07-16,2009,12,"Dramas, Romantic Movies",2009-11-18,131.0,,Primavera
s452,Movie,Twilight,Catherine Hardwicke,"Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Ashley Greene","GB, US",2021-07-16,2008,12,"Action & Adventure, Dramas, Romantic Movies",2008-11-20,122.0,,Primavera
s453,Movie,A Perfect Fit,Hadrah Daeng Ratu,"Nadya Arina, Refal Hady, Giorgino Abraham, Anggika Bölsterli, Laura Theux",ID,2021-07-15,2021,10,"Comedies, Dramas, International Movies",2021-07-15,113.0,,Inverno
s454,TV Show,BEASTARS,Não Informado,"Chikahiro Kobayashi, Sayaka Senbongi, Yuki Ono",JP,2021-07-15,2021,18,"Anime Series, International TV Shows",2019-10-10,,2.0,Primavera
s455,Movie,Cheech & Chong's Still Smokin,Tommy Chong,"Cheech Marin, Tommy Chong, Hans Man in 't Veld, Carol van Herwijnen, Shireen Strooker",US,2021-07-15,1983,18,"Comedies, Cult Movies",1983-05-06,91.0,,Outono
s456,Movie,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,"Emicida, Henrique Vieira, Pabllo Vittar, MC Tha, Drik Barbosa",BR,2021-07-15,2021,18,"Documentaries, International Movies, Music & Musicals",2021-07-15,100.0,,Inverno
s457,TV Show,Her Private Life,Não Informado,"Park Min-young, Kim Jae-uck, Ahn Bo-hyun, Jung Jae-won, Kim Bo-ra",KR,2021-07-15,2019,14,"International TV Shows, Romantic TV Shows, TV Comedies",2019-04-10,,1.0,Outono
s458,Movie,Lift Like a Girl,Mayye Zayed,"Asmaa ""Zebiba"" Ramadan, Essmat Mansour, Captain Ramadan, Noura Abdel-Sabour, Nahla Ramadan","DK, EG, DE",2021-07-15,2021,10,"Documentaries, International Movies, Sports Movies",2020-09-11,93.0,,Primavera
s459,Movie,My Amanda,Alessandra de Rossi,"Alessandra de Rossi, Piolo Pascual, Luz Valdez, KC Montero, Alexander Medina",PH,2021-07-15,2021,14,"Dramas, International Movies, Romantic Movies",2021-07-15,90.0,,Inverno
s460,TV Show,Never Have I Ever,Não Informado,"Maitreyi Ramakrishnan, Darren Barnet, Poorna Jagannathan, Jaren Lewison, Lee Rodriguez",US,2021-07-15,2021,14,"TV Comedies, TV Dramas, Teen TV Shows",2020-04-27,,2.0,Outono
s461,Movie,Surf's Up,Ash Brannon,"Shia LaBeouf, Jeff Bridges, Zooey Deschanel, Jon Heder, James Woods",US,2021-07-15,2007,10,"Children & Family Movies, Comedies, Sports Movies",2007-06-08,86.0,,Inverno
s462,Movie,The Unknown Saint,Alaa Eddine Aljem,"Younes Bouab, Salah Bensalah, Bouchaib Essamak, Mohamed Naimane, Anas El Baz","QA, MA, FR",2021-07-15,2019,14,"Comedies, Dramas, Independent Movies",2020-01-01,100.0,,Verão
s463,Movie,This Changes Everything,Tom Donahue,"Alan Alda, Meryl Streep, Sharon Stone, Geena Davis, Cate Blanchett",US,2021-07-15,2019,18,Documentaries,2019-06-28,96.0,,Inverno
s464,Movie,A Classic Horror Story,Roberto De Feo,"Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol",IT,2021-07-14,2021,18,"Horror Movies, International Movies",2021-07-01,95.0,,Inverno
s465,Movie,Gunpowder Milkshake,Navot Papushado,"Karen Gillan, Lena Headey, Chloe Coleman, Carla Gugino, Michelle Yeoh","FR, DE, US",2021-07-14,2021,16,"Action & Adventure, Comedies",2021-07-14,115.0,,Inverno
s466,TV Show,Heist,Não Informado,"Fred Tallchief, Titus Tallchief, Ed Ronan, Joe Dushek, Larry Duis",US,2021-07-14,2021,18,"Crime TV Shows, Docuseries",2021-07-14,,1.0,Inverno
s467,TV Show,My Unorthodox Life,Não Informado,Não Informado,US,2021-07-14,2021,18,Reality TV,2021-07-14,,1.0,Inverno
s468,Movie,Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,Daniel Giménez Cacho,MX,2021-07-14,2021,18,"Documentaries, International Movies",2021-07-14,100.0,,Inverno
s469,Movie,The Guide to the Perfect Family,Ricardo Trogi,"Louis Morissette, Émilie Bierre, Catherine Chabot, Xavier Lebel, Isabelle Guérard",CA,2021-07-14,2021,18,"Comedies, Dramas, International Movies",2021-07-14,102.0,,Inverno
s470,Movie,American Woman,Jake Scott,"Sienna Miller, Christina Hendricks, Aaron Paul, Will Sasso, Sky Ferreira",US,2021-07-13,2019,18,"Dramas, Independent Movies",2018-06-07,87.0,,Inverno
s471,Movie,Bridgerton - The Afterparty,Não Informado,Não Informado,Não Informado,2021-07-13,2021,14,Movies,,39.0,,Não informado
s472,Movie,Day of Destiny,Akay Mason,"Olumide Oworu, Denola Grey, Norbert Young, Toyin Abraham, Jide Kosoko",NG,2021-07-13,2021,10,"Children & Family Movies, Dramas, International Movies",2021-10-30,110.0,,Primavera
s473,TV Show,Ridley Jones,Não Informado,"Iara Nemirovsky, iris menas, Laraine Newman, David Errigo Jr., Tyler Shamy",US,2021-07-13,2021,Livre,Kids' TV,2021-07-13,,1.0,Inverno
s474,Movie,Born to Play,Viridiana Lieberman,"Allison Cahill, Chanté Bonds",US,2021-07-12,2020,18,"Documentaries, Sports Movies",2020-07-01,93.0,,Inverno
s475,Movie,American Ultra,Nima Nourizadeh,"Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins","CH, US",2021-07-10,2015,16,"Action & Adventure, Comedies",2015-08-19,96.0,,Inverno
s476,Movie,The Stand-Up,Não Informado,"Inga Gaile, Džemma Sudraba, Lydia Oyeniyi, Una Rozenbauma, Aiva Birbele",LV,2021-07-10,2019,18,Stand-Up Comedy,2020-01-01,93.0,,Verão
s477,Movie,The Tour,Damon Rickard,"Jessica Cameron, Heather Dorff, Tom Gordon",GB,2021-07-10,2016,18,"Comedies, Documentaries, International Movies",2014-09-12,93.0,,Primavera
s478,TV Show,Atypical,Não Informado,Não Informado,Não Informado,2021-07-09,2021,14,"TV Comedies, TV Dramas, Teen TV Shows",,,4.0,Não informado
s479,TV Show,Biohackers,Não Informado,"Luna Wedler, Jessica Schwarz, Adrian Julius Tillmann, Thomas Prenn, Jing Xiang",DE,2021-07-09,2021,18,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2020-08-20,,2.0,Inverno
s480,Movie,Fear Street Part 2: 1978,Leigh Janiak,"Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye, Gillian Jacobs",US,2021-07-09,2021,16,Horror Movies,2021-07-08,111.0,,Inverno
s481,Movie,Finding Hubby,Femi D. Ogunsanwo,"Ade Laoye, Munachi Abii, Kehinde Bankole, Charles Etubiebi, Paul Utomi",NG,2021-07-09,2020,14,"Comedies, Dramas, International Movies",2020-12-04,105.0,,Verão
s482,Movie,How I Became a Superhero,Douglas Attal,"Pio Marmaï, Vimala Pons, Benoît Poelvoorde, Leïla Bekhti, Swann Arlaud",FR,2021-07-09,2021,18,"Action & Adventure, Dramas, International Movies",2020-11-19,101.0,,Primavera
s483,TV Show,How to Become a Tyrant,Não Informado,Peter Dinklage,US,2021-07-09,2021,18,Docuseries,2021-07-09,,1.0,Inverno
s484,Movie,Last Summer,Amy James-Kelly,"Amy James-Kelly, Alastair Michael",GB,2021-07-09,2021,18,"Dramas, International Movies, Romantic Movies",2019-03-10,102.0,,Outono
s485,Movie,Lee Su-geun: The Sense Coach,Kim Joo-hyung,Lee Su-geun,KR,2021-07-09,2021,Livre,Stand-Up Comedy,2021-07-09,46.0,,Inverno
s486,Movie,Lethal Love,Avi Federgreen,"Torri Higginson, David Pinard, Joelle Farrow, Tommie-Amber Pirie, Dayle McLeod",CA,2021-07-09,2021,14,Thrillers,2021-07-09,89.0,,Inverno
s487,Movie,Ratchet and Clank,Jericca Cleland,"James Arnold Taylor, David Kaye, Jim Ward, Paul Giamatti, Armin Shimerman","CA, HK, US",2021-07-09,2016,10,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",2016-04-13,94.0,,Outono
s488,TV Show,The Cook of Castamar,Não Informado,"Michelle Jenner, Roberto Enríquez, Hugo Silva, Maxi Iglesias, María Hervás",ES,2021-07-09,2021,18,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021-02-21,,1.0,Verão
s489,TV Show,Virgin River,Não Informado,"Alexandra Breckenridge, Martin Henderson, Colin Lawrence, Benjamin Hollingsworth, Lauren Hammersley",US,2021-07-09,2021,14,"Romantic TV Shows, TV Dramas",2019-12-06,,3.0,Verão
s490,Movie,Back to Q82,Ahmed Siddiqui,"Jassim Al-Nabhan, Abdul Emam Abdullah, Khaled Al Mudhaffar, Abdulaziz Al-Nassar, Amal Anbari",KW,2021-07-08,2017,14,"Comedies, International Movies",2017-01-16,104.0,,Verão
s491,TV Show,Elize Matsunaga: Once Upon a Crime,Não Informado,"Elize Matsunaga, Thaís Nunes, Juliana Santoro, Luciano Santoro, Luiz Flávio D'Urso",BR,2021-07-08,2021,18,"Crime TV Shows, Docuseries, International TV Shows",2021-07-08,,1.0,Inverno
s492,Movie,Home Again,Hallie Meyers-Shyer,"Reese Witherspoon, Nat Wolff, Jon Rudnitsky, Pico Alexander, Lake Bell",US,2021-07-08,2017,12,"Comedies, Dramas, Romantic Movies",2017-09-07,97.0,,Primavera
s493,Movie,Midnight Sun,Scott Speer,"Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Ken Tremblett",US,2021-07-08,2018,12,"Dramas, Romantic Movies",2018-03-22,91.0,,Outono
s494,TV Show,RESIDENT EVIL: Infinite Darkness,Não Informado,"Nick Apostolides, Stephanie Panisello, Jona Xiao, Ray Chase, Brad Venable",JP,2021-07-08,2021,18,"Anime Series, TV Horror, TV Thrillers",2021-07-08,,1.0,Inverno
s495,Movie,Rock the Kasbah,Barry Levinson,"Bill Murray, Zooey Deschanel, Bruce Willis, Kate Hudson, Taylor Kinney","MA, US",2021-07-08,2015,16,"Comedies, Music & Musicals",2015-10-22,106.0,,Primavera
s496,Movie,Awon Boyz,Tolulope Itegboje,Não Informado,NG,2021-07-07,2019,18,"Documentaries, International Movies",2019-03-22,38.0,,Outono
s497,Movie,Brick Mansions,Camille Delamarre,"Paul Walker, David Belle, RZA, Robert Maillet, Carlo Rota","CA, FR, US",2021-07-07,2014,12,"Action & Adventure, International Movies",2014-04-22,90.0,,Outono
s498,TV Show,Cat People,Não Informado,Não Informado,US,2021-07-07,2021,14,Docuseries,2021-07-07,,1.0,Inverno
s499,Movie,Clash,Amrou Al-Kadhi,"Tim McInnerny, Umber Ghauri, Nadine Davis, Tia Simon-Campbell, Basi Akpabio",GB,2021-07-07,2020,18,"Dramas, International Movies",2017-09-01,87.0,,Primavera
s500,TV Show,Dogs,Não Informado,"Carly, Corinne, Beth",US,2021-07-07,2021,10,Docuseries,2018-11-16,,2.0,Primavera
s501,Movie,Major Grom: Plague Doctor,Oleg Trofim,"Tikhon Zhiznevsky, Lyubov Aksyonova, Aleksey Maklakov, Aleksandr Seteykin, Sergey Goroshko",Russia,2021-07-07,2021,18,"Action & Adventure, International Movies",2021-04-01,138.0,,Outono
s502,Movie,Mama Drama,Seyi Babatope,"Osas Ighodaro, Kehinde Bankole, Kunle Remi, Femi Adebayo, Shaffy Bello",NG,2021-07-07,2020,18,"Dramas, International Movies",2020-10-01,105.0,,Primavera
s503,Movie,Tango With Me,Mahmood Ali-Balogun,Não Informado,Não Informado,2021-07-07,2010,14,"Dramas, International Movies, Romantic Movies",2010-01-01,104.0,,Verão
s504,TV Show,The Mire,Não Informado,"Andrzej Seweryn, Magdalena Różczka, Dawid Ogrodnik, Michał Pawlik, Łukasz Simlat",PL,2021-07-07,2021,18,"Crime TV Shows, International TV Shows, TV Dramas",2018-08-19,,2.0,Inverno
s505,TV Show,The War Next-door,Não Informado,Luz Aldán,MX,2021-07-07,2021,18,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021-07-07,,1.0,Inverno
s506,Movie,Therapy,James Monte,"Erin Rickard, Tyler Jones-Palmer, Jeff Dernlan",Não Informado,2021-07-07,2020,10,"Dramas, International Movies",2020-09-28,85.0,,Primavera
s507,Movie,This Little Love Of Mine,Christine Luby,"Saskia Hampele, Liam McIntyre, Lynn Gilmartin, Craig Horner, Rajan Velu",AU,2021-07-07,2021,Livre,"International Movies, Romantic Movies",2021-04-22,92.0,,Outono
s508,Movie,Three Thieves,Udoka Oyeka,"Shawn Faqua, Koye Kekere Ekun, Frank Donga, Eric Obinna, Enado Odigie",NG,2021-07-07,2019,14,"Comedies, International Movies",2019-10-04,108.0,,Primavera
s509,Movie,A Land Imagined,Yeo Siew Hua,"Peter Yu, Liu Xiaoyi, Guo Yue, Jack Tan, Ishtiaque Zico","FR, NL, SG",2021-07-06,2019,18,"Dramas, International Movies",2019-02-06,95.0,,Verão
s510,TV Show,Ask the StoryBots,Não Informado,"Judy Greer, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis",US,2021-07-06,2019,Livre,Kids' TV,2016-08-12,,3.0,Inverno
s511,TV Show,Between,Não Informado,"Jennette McCurdy, Jesse Carere, Ryan Allen, Justin Kelly, Kyle Mac",CA,2021-07-06,2016,14,"International TV Shows, TV Dramas, TV Mysteries",2015-05-21,,2.0,Outono
s512,TV Show,Chelsea,Não Informado,Chelsea Handler,US,2021-07-06,2017,18,"Stand-Up Comedy & Talk Shows, TV Comedies",2016-05-11,,2.0,Outono
s513,TV Show,Code Lyoko,Não Informado,Não Informado,Não Informado,2021-07-06,2007,10,Kids' TV,,,4.0,Não informado
s514,TV Show,Colony,Não Informado,"Josh Holloway, Sarah Wayne Callies, Tory Kittles, Peter Jacobson, Alex Neustaedter",US,2021-07-06,2018,14,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2016-01-14,,3.0,Verão
s515,TV Show,Cuckoo,Não Informado,Não Informado,Não Informado,2021-07-06,2019,18,"British TV Shows, International TV Shows, TV Comedies",,,5.0,Não informado
s516,TV Show,Derry Girls,Não Informado,"Saoirse-Monica Jackson, Louisa Harland, Nicola Coughlan, Jamie Lee O'Donnell, Dylan Llewellyn",GB,2021-07-06,2019,18,"British TV Shows, International TV Shows, TV Comedies",2018-01-04,,2.0,Verão
s517,TV Show,Girl from Nowhere,Não Informado,Chicha Amatayakul,TH,2021-07-06,2021,18,"International TV Shows, TV Dramas, TV Mysteries",2018-10-27,,2.0,Primavera
s518,TV Show,Good Morning Call,Não Informado,"Haruka Fukuhara, Shunya Shiraishi, Dori Sakurada, Yosuke Sugino, Moe Arai",JP,2021-07-06,2017,14,"International TV Shows, Romantic TV Shows, TV Comedies",2016-02-12,,2.0,Verão
s519,Movie,Har Kisse Ke Hisse: Kaamyaab,Hardik Mehta,"Sanjay Mishra, Deepak Dobriyal, Isha Talwar, Sarika Singh, Manoj Bakshi",IN,2021-07-06,2020,14,"Dramas, International Movies",2020-03-06,105.0,,Outono
s520,TV Show,I AM A KILLER,Não Informado,Não Informado,GB,2021-07-06,2020,18,"British TV Shows, Crime TV Shows, Docuseries",2018-05-29,,2.0,Outono
s521,TV Show,I Think You Should Leave with Tim Robinson,Não Informado,Tim Robinson,US,2021-07-06,2021,18,TV Comedies,2019-04-23,,2.0,Outono
s522,TV Show,Kim's Convenience,Não Informado,Não Informado,Não Informado,2021-07-06,2021,18,"International TV Shows, TV Comedies",,,5.0,Não informado
s523,TV Show,Larva,Não Informado,"Yang Ji-won, SinB, Mir, Ha Soo-min",KR,2021-07-06,2015,10,"Kids' TV, Korean TV Shows, TV Comedies",2015-08-11,,3.0,Inverno
s524,TV Show,Marcella,Não Informado,"Anna Friel, Nicholas Pinnock, Ray Panthaki, Sinéad Cusack, Amanda Burton",GB,2021-07-06,2019,18,"British TV Shows, Crime TV Shows, International TV Shows",2016-04-04,,3.0,Outono
s525,TV Show,Midnight Diner: Tokyo Stories,Não Informado,Kaoru Kobayashi,JP,2021-07-06,2019,18,"International TV Shows, TV Dramas",2016-10-21,,2.0,Primavera
s526,TV Show,My Little Pony: Friendship Is Magic,Não Informado,Não Informado,Não Informado,2021-07-06,2018,Livre,Kids' TV,,,8.0,Não informado
s527,TV Show,Orange Is the New Black,Não Informado,Não Informado,Não Informado,2021-07-06,2019,18,"TV Comedies, TV Dramas",,,7.0,Não informado
s528,TV Show,Puffin Rock,Não Informado,Não Informado,IE,2021-07-06,2016,Livre,Kids' TV,2015-01-12,,2.0,Verão
s529,Movie,Rehmataan,Não Informado,Não Informado,Não Informado,2021-07-06,2012,14,"Dramas, International Movies, Romantic Movies",,116.0,,Não informado
s530,Movie,Return of the Prodigal Son,Youssef Chahine,"Hesham Selim, Majida El Roumi, Ahmed Mehrez, Shoukry Sarhan, Huda Sultan","DZ, EG",2021-07-06,1976,18,"Dramas, International Movies",1976-09-24,124.0,,Primavera
s531,TV Show,Richie Rich,Não Informado,"Jake Brennan, Brooke Wexler, Kiff VandenHeuvel, Lauren Taylor, Joshua Carlon",US,2021-07-06,2015,Livre,"Kids' TV, TV Comedies",2015-02-20,,2.0,Verão
s532,Movie,Rise: Ini Kalilah,Nik Amir Mustapha,"Remy Ishak, Mira Filzah, Sangeeta Krishnasamy, Jenn Chia, Mark O’Dea",MY,2021-07-06,2018,10,"Dramas, International Movies",2018-09-13,101.0,,Primavera
s533,TV Show,Scream,Não Informado,"Zak Bagans, Aaron Goodwin, Jay Wasley, Billy Tolley",US,2021-07-06,2019,18,"Crime TV Shows, TV Horror, TV Mysteries",2020-01-01,,3.0,Verão
s534,TV Show,Shtisel,Não Informado,Não Informado,Não Informado,2021-07-06,2021,14,"International TV Shows, TV Dramas",,,3.0,Não informado
s535,Movie,Si Doel the Movie 2,Rano Karno,"Rano Karno, Maudy Koesnaedi, Cornelia Agatha, Mandra, Suti Karno",ID,2021-07-06,2019,Livre,"Dramas, International Movies",2019-06-04,95.0,,Inverno
s536,TV Show,Some Assembly Required,Não Informado,"Kolton Stewart, Charlie Storwick, Dylan Playfair, Harrison Houde, Sydney Scotia",CA,2021-07-06,2015,Livre,"Kids' TV, TV Comedies",2014-01-06,,2.0,Verão
s537,TV Show,Tales by Light,Não Informado,Não Informado,AU,2021-07-06,2018,14,"Docuseries, International TV Shows, Science & Nature TV",2015-05-24,,3.0,Outono
s538,TV Show,Terrace House: Opening New Doors,Não Informado,"YOU, Reina Triendl, Yoshimi Tokui, Ryota Yamasato, Azusa Babazono",JP,2021-07-06,2018,14,"International TV Shows, Reality TV",2017-12-19,,6.0,Verão
s539,TV Show,The A List,Não Informado,"Rosie Dwyer, Savannah Baker, Dylan Brady, Byron Easmon, Barnaby Tobias",GB,2021-07-06,2021,10,"British TV Shows, International TV Shows, TV Dramas",2018-10-25,,2.0,Primavera
s540,TV Show,The New Legends of Monkey,Não Informado,"Chai Hansen, Luciane Buchanan, Josh Thomson, Emilie Cocquerel, Natasha Daniel","NZ, AU",2021-07-06,2020,10,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2018-01-28,,2.0,Verão
s541,TV Show,The Worst Witch,Não Informado,"Lydia Page, Megan Hughes, Tamara Smart, Jenny Richardson, Dagny Rollins",GB,2021-07-06,2020,Livre,"British TV Shows, Kids' TV",2017-01-11,,4.0,Verão
s542,Movie,Truckbhar Swapna,Não Informado,"Aaditi Pohankar, Mukesh Rishi, Smita Tambe, Makrand Deshpande",Não Informado,2021-07-06,2018,14,"Comedies, Dramas, International Movies",2018-08-24,128.0,,Inverno
s543,Movie,Ujala,Naresh Saigal,"Mala Sinha, Shammi Kapoor, Raaj Kumar, Leela Chitnis, Kumkum",IN,2021-07-06,1959,14,"Dramas, International Movies",1959-01-01,143.0,,Verão
s544,TV Show,Undercover,Não Informado,"Tom Waes, Frank Lammers, Elise Schaap, Jeroen Van der Ven, Ruth Becquart",BE,2021-07-06,2020,18,"Crime TV Shows, International TV Shows, TV Action & Adventure",2019-02-24,,2.0,Verão
s545,TV Show,Workin' Moms,Não Informado,Não Informado,Não Informado,2021-07-06,2021,18,"International TV Shows, TV Comedies",,,5.0,Não informado
s546,TV Show,YooHoo to the Rescue,Não Informado,Não Informado,"IT, KR",2021-07-06,2020,Livre,"Kids' TV, Korean TV Shows",2019-03-15,,3.0,Outono
s547,TV Show,You Are My Spring,Não Informado,"Seo Hyun-jin, Kim Dong-wook, Yoon Park, Nam Gyu-ri, Kim Ye-won",KR,2021-07-06,2021,14,"International TV Shows, Romantic TV Shows, TV Dramas",2021-07-05,,1.0,Inverno
s548,TV Show,We the People,Não Informado,"Janelle Monáe, Lin-Manuel Miranda, Adam Lambert, Bebe Rexha, H.E.R.",US,2021-07-04,2021,10,Kids' TV,2021-07-04,,1.0,Inverno
s549,TV Show,Grey's Anatomy,Não Informado,Não Informado,Não Informado,2021-07-03,2020,14,"Romantic TV Shows, TV Dramas",,,17.0,Não informado
s550,TV Show,Big Timber,Não Informado,"Kevin Wenstob, Coleman Willner, Sarah Fleming",CA,2021-07-02,2020,14,"International TV Shows, Reality TV",2020-10-08,,1.0,Primavera
s551,Movie,Fear Street Part 1: 1994,Leigh Janiak,"Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald, Fred Hechinger",US,2021-07-02,2021,16,"Horror Movies, LGBTQ Movies",2021-06-28,107.0,,Inverno
s552,Movie,Haseen Dillruba,Vinil Mathew,"Taapsee Pannu, Vikrant Massey, Harshvardhan Rane, Aditya Srivastava, Yamini Das",IN,2021-07-02,2021,18,"International Movies, Romantic Movies, Thrillers",2021-06-30,136.0,,Inverno
s553,Movie,Holiday on Mars,Neri Parenti,"Christian De Sica, Massimo Boldi, Milena Vukotić, Lucia Mascino, Paola Minaccioni",IT,2021-07-02,2020,18,"Comedies, International Movies",2020-12-13,94.0,,Verão
s554,TV Show,Mortel,Não Informado,"Sami Outalbali, Manon Bresch, Némo Schiffman, Carl Malapa, Corentin Fila",FR,2021-07-02,2019,18,"Crime TV Shows, International TV Shows, TV Dramas",2019-11-21,,2.0,Primavera
s555,Movie,RattleSnake - The Ahanna Story,Ramsey Nouah,"Stan Nze, Osas Ighodaro, Bucci Franklin, Odera Adimorah, Efa Iwara",NG,2021-07-02,2020,18,"Dramas, International Movies, Thrillers",2020-11-13,136.0,,Primavera
s556,Movie,Snowpiercer,Bong Joon Ho,"Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton",KR,2021-07-02,2013,16,"Action & Adventure, Cult Movies, International Movies",2013-08-01,126.0,,Inverno
s557,Movie,The 8th Night,Kim Tae-hyoung,"Lee Sung-min, Nam Da-reum, Park Hae-joon, Kim Yoo-jung, Kim Dong-young",KR,2021-07-02,2021,14,"Horror Movies, International Movies, Thrillers",2021-07-02,116.0,,Inverno
s558,Movie,Winchester,Michael Spierig,"Helen Mirren, Jason Clarke, Sarah Snook, Finn Scicluna-O'Prey, Emm Wiseman","AU, US",2021-07-02,2018,12,"Horror Movies, Sci-Fi & Fantasy",2018-02-02,100.0,,Verão
s559,Movie,6 Bullets,Ernie Barbarash,"Jean-Claude Van Damme, Joe Flanigan, Kris Van Damme, Bianca Bree, Anna-Louise Plowman",US,2021-07-01,2012,16,Action & Adventure,2012-09-11,115.0,,Primavera
s560,Movie,Air Force One,Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close, Wendy Crewson, Liesel Matthews",US,2021-07-01,1997,16,Action & Adventure,1997-07-25,125.0,,Inverno
s561,Movie,Audible,Matthew Ogens,Amaree McKenstry-Hall,US,2021-07-01,2021,12,"Documentaries, Sports Movies",2021-04-29,39.0,,Outono
s562,Movie,Austin Powers in Goldmember,Jay Roach,"Mike Myers, Beyoncé, Seth Green, Michael York, Robert Wagner",US,2021-07-01,2002,12,"Action & Adventure, Comedies",2002-07-26,94.0,,Inverno
s563,Movie,Austin Powers: International Man of Mystery,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner","DE, US",2021-07-01,1997,12,Comedies,1997-05-02,90.0,,Outono
s564,Movie,Austin Powers: The Spy Who Shagged Me,Jay Roach,"Mike Myers, Heather Graham, Verne Troyer, Michael York, Robert Wagner",US,2021-07-01,1999,12,"Action & Adventure, Comedies, Sci-Fi & Fantasy",1999-06-08,95.0,,Inverno
s565,Movie,Boogie Nights,Paul Thomas Anderson,"Mark Wahlberg, Burt Reynolds, Julianne Moore, John C. Reilly, Heather Graham",US,2021-07-01,1997,16,"Comedies, Dramas, Independent Movies",1997-10-10,155.0,,Primavera
s566,TV Show,Bureau of Magical Things,Não Informado,"Kimie Tsukakoshi, Mia Milnes, Elizabeth Cullen, Julian Cullen, Rainbow Wedell",AU,2021-07-01,2020,Livre,"International TV Shows, Kids' TV, TV Mysteries",2018-07-08,,1.0,Inverno
s567,Movie,Charlie's Angels,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell",US,2021-07-01,2000,12,"Action & Adventure, Comedies",2000-11-02,98.0,,Primavera
s568,Movie,Congo,Frank Marshall,"Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry, Grant Heslov",US,2021-07-01,1995,12,"Action & Adventure, Thrillers",1995-06-09,108.0,,Inverno
s569,Movie,Dennis the Menace,Nick Castle,"Walter Matthau, Mason Gamble, Joan Plowright, Christopher Lloyd, Lea Thompson",US,2021-07-01,1993,10,"Children & Family Movies, Comedies",1993-06-09,96.0,,Inverno
s570,Movie,Dreamy Eyes,Victor Vũ,"Trúc Anh, Trần Nghĩa, Đỗ Khánh Vân, Trần Phong, Nguyễn Lâm Thảo Tâm",VN,2021-07-01,2019,14,"Dramas, International Movies, Romantic Movies",2019-12-20,117.0,,Verão
s571,Movie,Dynasty Warriors,Roy Chow Hin-Yeung,"Wang Kai, Han Geng, Louis Koo, Tony Yang, Ray Lui","CN, HK, JP",2021-07-01,2021,14,"Action & Adventure, International Movies",2021-04-27,118.0,,Outono
s572,TV Show,Generation 56k,Não Informado,"Angelo Spagnoletti, Cristina Cappelli, Gianluca Colucci, Fabio Balsamo, Alfredo Cerrone",IT,2021-07-01,2021,18,"International TV Shows, Romantic TV Shows, TV Comedies",2021-07-01,,1.0,Inverno
s573,Movie,Hampstead,Joel Hopkins,"Diane Keaton, Brendan Gleeson, James Norton, Lesley Manville, Jason Watkins",GB,2021-07-01,2019,12,"Comedies, Dramas, International Movies",2017-06-23,103.0,,Inverno
s574,Movie,Kung Fu Panda,Mark Osborne,"Jack Black, Angelina Jolie, Dustin Hoffman, Ian McShane, Jackie Chan",US,2021-07-01,2008,10,"Children & Family Movies, Comedies",2008-06-04,94.0,,Inverno
